X;et_x;direct;flip;id_r;g_indicator;indicator;country;ref;DOI;g_desbio;grupo;orden;fam.spe;habitat;et_y;dif;source;manag;coo1;coo2;r_paper;n;p;phen;r_total;n_total;Zr;r_dir;Zr_dir;Var_dir
90;% of land in refuges;+;no;14_3;composition;semi-natural areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;shorebird;aquatic;Shorebird Density - 2 km;easy;coefficient;NA;TYTCHI;NA;0.424;14;0.064;NA;0.424;14;0.452558716;0.424;0.452558716;0.090909091
91;% of land in refuges;+;no;14_4;composition;semi-natural areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;wading bird;aquatic;Wading Bird Density - 10 km;easy;coefficient;NA;NA;NA;0.735;13;0.002;NA;0.735;13;0.939516433;0.735;0.939516433;0.1
92;% of semi-natural wetlands in the surrounding landscape (10 km);+;no;14_6;composition;semi-natural areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;wading bird;aquatic;Wading Bird Density - 10 km;easy;coefficient;NA;NA;NA;0.481;14;0.042;NA;0.481;14;0.524284466;0.481;0.524284466;0.090909091
93;% of semi-natural wetlands in the surrounding landscape (5km);+;no;14_5;composition;semi-natural areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;wading bird;aquatic;Wading Bird Density - 5 km;easy;coefficient;NA;NA;NA;0.447;14;0.054;NA;0.447;14;0.480944863;0.447;0.480944863;0.090909091
94;% wildlife refuge (10 km);+;no;14_7;composition;semi-natural areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;goose;aquatic;Goose density - 10 km;easy;coefficient;NA;NA;NA;0.489897949;14;0.037;NA;0.489897949;14;0.53592605;0.489897949;0.53592605;0.090909091
95;% wildlife refuge (5 km);+;no;14_8;composition;semi-natural areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;goose;aquatic;Goose density - 5km;easy;coefficient;NA;NA;NA;0.489897949;14;0.035;NA;0.489897949;14;0.53592605;0.489897949;0.53592605;0.090909091
96;Distance to river (m);-;si;1_1;configuration;proximity;indonesia;Aandrean et al. - 2017 -;10.1007/s11284-017-1496-6;abu_den;Vertebrate;Carnivora;Lutrinae;aquatic;Visitations;easy;graph;NA;NA;NA;NA;NA;NA;NA;0.090825509;25;0.091076501;-0.090825509;-0.091076501;0.045454545
97;Distance to settlement (m);+;no;1_2;configuration;proximity;indonesia;Aandrean et al. - 2017 -;10.1007/s11284-017-1496-6;abu_den;Vertebrate;Carnivora;Lutrinae;aquatic;Visitations;easy;graph;NA;NA;NA;NA;NA;NA;NA;0.294295261;25;0.303262346;0.294295261;0.303262346;0.045454545
98;distance to edge;-;si;9_1;configuration;proximity;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abu_den;Vertebrate;Chiroptera;NA;terrestrial;Activity;medium;graph;NA;NA;NA;NA;NA;NA;NA;-0.113406868;150;-0.113896834;0.113406868;0.113896834;0.006802721
99;Distance to forest;-;si;9_2;configuration;proximity;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abu_den;Vertebrate;Chiroptera;NA;terrestrial;Activity;hard;graph;NA;NA;NA;NA;NA;NA;NA;-0.26857152;147;-0.275323658;0.26857152;0.275323658;0.006944444
100;Forest area within 1km;+;no;9_3;composition;semi-natural areas;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abu_den;Vertebrate;Chiroptera;NA;terrestrial;Activity;medium;graph;NA;NA;NA;NA;NA;NA;NA;0.211046473;71;0.21426635;0.211046473;0.21426635;0.014705882
101;SDHI within 1km;+;no;9_4;heterogeinity;LU-crop evenness;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abu_den;Vertebrate;Chiroptera;NA;terrestrial;Activity;hard;graph;NA;NA;NA;NA;NA;NA;NA;0.121353917;67;0.121954954;0.121353917;0.121954954;0.015625
102;Urban area within 1km;-;si;9_5;composition;non-crop areas;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abu_den;Vertebrate;Chiroptera;NA;terrestrial;Activity;medium;graph;NA;NA;NA;NA;NA;NA;NA;-0.187558714;144;-0.189805665;0.187558714;0.189805665;0.007092199
103;width of rice bund;+;no;2_7;configuration;connectivity;bangladesh;Ali et al. - 2020 -;10.1186/s40850-020-00059-1;abu_den;Arthropod;Coleoptera;Carabidae;terrestrial;carabid beetles;easy;coefficient;NA;NA;NA;0.423;24;0.05;NA;0.423;24;0.451340166;0.423;0.451340166;0.047619048
104;1000edd;+;no;4_2;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;0.349485775;60;0.364857863;0.349485775;0.364857863;0.01754386
105;1000Fallow;+;no;4_6;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;0.611729055;60;0.711679711;0.611729055;0.711679711;0.01754386
106;1000HN;+;no;4_7;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.381324942;60;-0.401609116;-0.381324942;-0.401609116;0.01754386
107;1000Rice;-;si;4_12;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;-0.639649306;60;-0.757579976;0.639649306;0.757579976;0.01754386
108;1000Road;+;no;4_15;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;0.135981579;60;0.136829147;0.135981579;0.136829147;0.01754386
109;1000SHDI;+;no;4_17;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.317383951;60;-0.328735323;-0.317383951;-0.328735323;0.01754386
110;1000Urban;-;si;4_20;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;-0.478404206;60;-0.520912799;0.478404206;0.520912799;0.01754386
111;1000Water;+;no;4_22;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;0.781055186;60;1.048070781;0.781055186;1.048070781;0.01754386
112;200edd;+;no;4_25;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;0.230287142;60;0.234492668;0.230287142;0.234492668;0.01754386
113;200Fallow;+;no;4_30;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;0.246563473;60;0.251750523;0.246563473;0.251750523;0.01754386
114;200HN;+;no;4_33;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;0.500689109;60;0.550225379;0.500689109;0.550225379;0.01754386
115;200Rice;-;si;4_36;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;-0.454903951;60;-0.490866574;0.454903951;0.490866574;0.01754386
116;200Road;+;no;4_38;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.244351642;60;-0.249396885;-0.244351642;-0.249396885;0.01754386
117;200SHDI;+;no;4_41;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;0.197072298;60;0.199684714;0.197072298;0.199684714;0.01754386
118;200Urban;-;si;4_44;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;0.369077292;60;0.387354459;-0.369077292;-0.387354459;0.01754386
119;200Water;+;no;4_47;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;0.322979712;60;0.334970295;0.322979712;0.334970295;0.01754386
120;500edd;+;no;4_51;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;0.249523075;60;0.254904157;0.249523075;0.254904157;0.01754386
121;500Fallow;+;no;4_53;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;0.608949442;60;0.707249934;0.608949442;0.707249934;0.01754386
122;500HN;+;no;4_56;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.03327154;60;-0.033283825;-0.03327154;-0.033283825;0.01754386
123;500Rice;-;si;4_60;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.644597803;60;-0.76600052;0.644597803;0.76600052;0.01754386
124;500Road;+;no;4_61;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;-0.094853579;60;-0.095139597;-0.094853579;-0.095139597;0.01754386
125;500SHDI;+;no;4_64;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.098198765;60;-0.098516247;-0.098198765;-0.098516247;0.01754386
126;500Urban;-;si;4_68;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;-0.250867084;60;-0.256337916;0.250867084;0.256337916;0.01754386
127;500Water;+;no;4_70;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;0.41211769;60;0.438159495;0.41211769;0.438159495;0.01754386
128;700edd;+;no;4_73;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;0.337491269;60;0.351258607;0.337491269;0.351258607;0.01754386
129;700Fallow;+;no;4_77;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;0.58884928;60;0.675902724;0.58884928;0.675902724;0.01754386
130;700HN;+;no;4_80;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.176858183;60;-0.178737553;-0.176858183;-0.178737553;0.01754386
131;700Rice;-;si;4_82;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.61196421;60;-0.712055571;0.61196421;0.712055571;0.01754386
132;700Road;+;no;4_86;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;max;0.120578947;60;0.121168476;0.120578947;0.121168476;0.01754386
133;700SHDI;+;no;4_89;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.2086732;60;-0.211783739;-0.2086732;-0.211783739;0.01754386
134;700Urban;-;si;4_92;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.360425279;60;-0.377374589;0.360425279;0.377374589;0.01754386
135;700Water;+;no;4_95;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;LBB;easy;table;NA;NA;NA;NA;NA;NA;heading;0.53528775;60;0.597527352;0.53528775;0.597527352;0.01754386
136;Core area index;-;si;13_3;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Aleurocybotus spp.;terrestrial;ALEURO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.422197776;28;0.450363523;-0.422197776;-0.450363523;0.04
137;Number patches;+;no;13_94;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Aleurocybotus spp.;terrestrial;ALEURO;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.370725833;28;-0.389264322;-0.370725833;-0.389264322;0.04
138;SHDI;+;no;13_163;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Aleurocybotus spp.;terrestrial;ALEURO;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.238366709;28;0.243041713;0.238366709;0.243041713;0.04
139;Core area index;-;si;13_7;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Atypena formasana;terrestrial;ATYFOR;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.391157224;28;0.413165574;-0.391157224;-0.413165574;0.04
140;Number patches;+;no;13_104;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Atypena formasana;terrestrial;ATYFOR;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.081212569;28;0.081391824;0.081212569;0.081391824;0.04
141;SHDI;+;no;13_122;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Atypena formasana;terrestrial;ATYFOR;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.009552906;28;-0.009553197;-0.009552906;-0.009553197;0.04
142;Core area index;-;si;13_1;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Ceraphon spp.;terrestrial;CERAPH;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.153857074;28;0.155088649;-0.153857074;-0.155088649;0.04
143;Number patches;+;no;13_113;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Ceraphon spp.;terrestrial;CERAPH;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.237808595;28;-0.242450061;-0.237808595;-0.242450061;0.04
144;SHDI;+;no;13_119;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hymenoptera;Ceraphon spp.;terrestrial;CERAPH;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.11133401;28;-0.111797466;-0.11133401;-0.111797466;0.04
145;Core area index;-;si;13_4;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Chaetocnema spp.;terrestrial;CHAETO;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.183915635;28;-0.18603241;0.183915635;0.18603241;0.04
146;Number patches;+;no;13_114;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Chaetocnema spp.;terrestrial;CHAETO;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.240918944;28;-0.245749452;-0.240918944;-0.245749452;0.04
147;SHDI;+;no;13_171;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Chaetocnema spp.;terrestrial;CHAETO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.338574448;28;0.352481524;0.338574448;0.352481524;0.04
148;Core area index;-;si;13_28;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Monolepta spp.;terrestrial;CHRYSO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.448574712;28;0.482914518;-0.448574712;-0.482914518;0.04
149;Number patches;+;no;13_107;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Monolepta spp.;terrestrial;CHRYSO;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.250004379;28;-0.255417483;-0.250004379;-0.255417483;0.04
150;SHDI;+;no;13_154;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Monolepta spp.;terrestrial;CHRYSO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.194019259;28;0.196510288;0.194019259;0.196510288;0.04
151;Core area index;-;si;13_52;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cofana spp.;terrestrial;COFSPE;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.20191631;28;0.20472951;-0.20191631;-0.20472951;0.04
152;Number patches;+;no;13_59;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cofana spp.;terrestrial;COFSPE;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.203422568;28;-0.206300288;-0.203422568;-0.206300288;0.04
153;SHDI;+;no;13_130;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Hemiptera;Cofana spp.;terrestrial;COFSPE;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.199452671;28;0.202162485;0.199452671;0.202162485;0.04
154;Core area index;-;si;13_21;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Aulacophora spec.;terrestrial;GALAUL;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.001214372;28;0.001214373;-0.001214372;-0.001214373;0.04
155;Number patches;+;no;13_78;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Aulacophora spec.;terrestrial;GALAUL;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.022163449;28;-0.022167079;-0.022163449;-0.022167079;0.04
156;SHDI;+;no;13_167;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Aulacophora spec.;terrestrial;GALAUL;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.091657121;28;0.091915094;0.091657121;0.091915094;0.04
157;Core area index;-;si;13_10;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Micraspis spp.;terrestrial;MICRAS;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.360738615;28;0.377734753;-0.360738615;-0.377734753;0.04
158;Number patches;+;no;13_64;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Micraspis spp.;terrestrial;MICRAS;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.180404964;28;0.182401244;0.180404964;0.182401244;0.04
159;SHDI;+;no;13_156;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Coleoptera;Micraspis spp.;terrestrial;MICRAS;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.425483146;28;-0.454368326;-0.425483146;-0.454368326;0.04
160;Distance from woodland edge (m);-;si;17_3;configuration;proximity;japan;Kagawa et al. - 2014 -;10.1007/s13355-014-0266-y;abu_den;Arthropod;Coleoptera;Carabidae;terrestrial;N. individuos;easy;table;NA;NA;NA;NA;NA;NA;NA;0.142617854;8;0.143596771;-0.142617854;-0.143596771;0.2
161;CropArea100;-;si;26_1;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Coleoptera;NA;NA;DBAbund;easy;table;NA;108.5300142;22.92119826;NA;NA;NA;NA;-0.245715991;56;-0.250848385;0.245715991;0.250848385;0.018867925
162;CropArea500;-;si;26_16;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Coleoptera;NA;NA;DBAbund;easy;table;NA;108.2476679;22.64947453;NA;NA;NA;NA;-0.160441109;56;-0.161839427;0.160441109;0.161839427;0.018867925
163;CropArea750;-;si;26_25;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Coleoptera;NA;NA;DBAbund;easy;table;NA;108.4680915;22.87274939;NA;NA;NA;NA;-0.160888833;56;-0.162299014;0.160888833;0.162299014;0.018867925
164;CropCompositionalHeterogeneity;+;no;26_40;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Coleoptera;NA;NA;DBAbund;easy;table;NA;108.2476679;22.64947453;NA;NA;NA;NA;0.151608543;56;0.152786412;0.151608543;0.152786412;0.018867925
165;FieldMarginLength;+;no;26_59;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Coleoptera;NA;NA;DBAbund;easy;table;NA;108.5383058;22.91019894;NA;NA;NA;NA;-0.136161703;56;-0.137012669;-0.136161703;-0.137012669;0.018867925
166;OpenWater500;+;no;26_63;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Coleoptera;NA;NA;DBAbund;easy;table;NA;108.1441942;22.57172556;NA;NA;NA;NA;-0.292387948;56;-0.301175457;-0.292387948;-0.301175457;0.018867925
167;OpenWater750;+;no;26_74;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;abu_den;Arthropod;Coleoptera;NA;NA;DBAbund;easy;table;NA;108.4367998;22.66668998;NA;NA;NA;NA;-0.138224764;56;-0.139115307;-0.138224764;-0.139115307;0.018867925
168;CropArea100;-;si;26_7;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Coleoptera;NA;NA;DBSpRich;easy;table;NA;108.5203031;22.90061373;NA;NA;NA;NA;-0.338570523;56;-0.352477091;0.338570523;0.352477091;0.018867925
169;CropArea500;-;si;26_23;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Coleoptera;NA;NA;DBSpRich;easy;table;NA;108.5139814;22.91507677;NA;NA;NA;NA;-0.28787879;56;-0.29625183;0.28787879;0.29625183;0.018867925
170;CropArea750;-;si;26_31;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Coleoptera;NA;NA;DBSpRich;easy;table;NA;108.5210335;22.87704892;NA;NA;NA;NA;-0.3114581;56;-0.322159339;0.3114581;0.322159339;0.018867925
171;CropCompositionalHeterogeneity;+;no;26_44;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Coleoptera;NA;NA;DBSpRich;easy;table;NA;108.5210335;22.87704892;NA;NA;NA;NA;0.495118359;56;0.542818313;0.495118359;0.542818313;0.018867925
172;FieldMarginLength;+;no;26_55;configuration;connectivity;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Coleoptera;NA;NA;DBSpRich;easy;table;NA;108.4862823;22.89382263;NA;NA;NA;NA;-0.103558433;56;-0.103931032;-0.103558433;-0.103931032;0.018867925
173;OpenWater500;+;no;26_67;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Coleoptera;NA;NA;DBSpRich;easy;table;NA;108.5001181;22.91309866;NA;NA;NA;NA;-0.225208504;56;-0.22913618;-0.225208504;-0.22913618;0.018867925
174;OpenWater750;+;no;26_79;composition;semi-natural areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;richness;Arthropod;Coleoptera;NA;NA;DBSpRich;easy;table;NA;108.5355088;22.92505838;NA;NA;NA;NA;-0.047944817;56;-0.047981605;-0.047944817;-0.047981605;0.018867925
175;CropArea100;-;si;26_12;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Coleoptera;NA;NA;DBSWInd;easy;table;NA;108.4705596;22.93423271;NA;NA;NA;NA;-0.19937831;56;-0.202085044;0.19937831;0.202085044;0.018867925
176;CropArea500;-;si;26_19;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Coleoptera;NA;NA;DBSWInd;easy;table;NA;108.5017753;22.88008025;NA;NA;NA;NA;-0.25670436;56;-0.26257706;0.25670436;0.26257706;0.018867925
177;CropArea750;-;si;26_35;composition;crop-areas;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Coleoptera;NA;NA;DBSWInd;easy;table;NA;108.4680915;22.87274939;NA;NA;NA;NA;-0.251740914;56;-0.257270651;0.251740914;0.257270651;0.018867925
178;CropCompositionalHeterogeneity;+;no;26_47;heterogeinity;LU-crop evenness;china;Priyadarshana et al. -2021-;10.1111/1365-2664.14005;shannon;Arthropod;Coleoptera;NA;NA;DBSWInd;easy;table;NA;108.4367998;22.66668998;NA;NA;NA;NA;0.510601428;56;0.563542957;0.510601428;0.563542957;0.018867925
