X;et_x;direct;flip;id_r;g_indicator;indicator;metric;obs_land;country;ref;DOI;des_bio;g_desbio;grupo;orden;fam.spe;habitat;funct;et_y;dif;source;manag;site_land;coo1;coo2;r_paper;n;p;coef;phen;obs_gen;n_cal;correlacion.x;correlacion.y;num_filas;r_total;r_absoluta;n_total;xy_cero;Zr;VarZr;r_dir;Zr_dir;Var_dir;tax
65;Core area index;-;si;13_25;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Staphylinidae Gen. spec.;terrestrial;predator;STAPHY;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.232092966;0.123680014;28;0.232092966;0.232092966;28;si;0.236400462;0.04;-0.232092966;-0.236400462;0.04;invertebrate
66;Number patches;+;no;13_111;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Staphylinidae Gen. spec.;terrestrial;predator;STAPHY;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.054416053;0.179047718;28;0.054416053;0.054416053;28;NA;0.054469859;0.04;0.054416053;0.054469859;0.04;invertebrate
67;SHDI;+;no;13_120;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Staphylinidae Gen. spec.;terrestrial;predator;STAPHY;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.043487615;0.024736003;28;-0.043487615;0.043487615;28;si;-0.04351506;0.04;-0.043487615;-0.04351506;0.04;invertebrate
68;Core area index;-;si;13_26;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Stenus spec.;terrestrial;predator;STENUS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.054997939;-0.077777235;28;0.054997939;0.054997939;28;si;0.055053492;0.04;-0.054997939;-0.055053492;0.04;invertebrate
69;Number patches;+;no;13_112;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Stenus spec.;terrestrial;predator;STENUS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.166240679;0.005846132;28;0.166240679;0.166240679;28;si;0.167797992;0.04;0.166240679;0.167797992;0.04;invertebrate
70;SHDI;+;no;13_121;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Stenus spec.;terrestrial;predator;STENUS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.412947644;-0.131277183;28;-0.412947644;0.412947644;28;si;-0.43915966;0.04;-0.412947644;-0.43915966;0.04;invertebrate
71;Core area index;-;si;13_57;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Tetragnathidae Gen. spec.;terrestrial;predator;TETRAG;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.185228391;-0.120162813;28;-0.185228391;0.185228391;28;si;-0.187391465;0.04;0.185228391;0.187391465;0.04;invertebrate
72;Number patches;+;no;13_71;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Tetragnathidae Gen. spec.;terrestrial;predator;TETRAG;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.2444983;-0.274575525;28;-0.2444983;0.2444983;28;NA;-0.249552862;0.04;-0.2444983;-0.249552862;0.04;invertebrate
73;SHDI;+;no;13_146;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Tetragnathidae Gen. spec.;terrestrial;predator;TETRAG;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;cropping season;NA;28;0.284244078;0.212214142;28;0.284244078;0.284244078;28;NA;0.29229317;0.04;0.284244078;0.29229317;0.04;invertebrate
74;Core area index;-;si;13_44;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Theridiae Gen. spec.;terrestrial;predator;THERID;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;cropping season;NA;28;-0.179165028;-0.137795672;28;-0.179165028;0.179165028;28;si;-0.181119891;0.04;0.179165028;0.181119891;0.04;invertebrate
75;Number patches;+;no;13_73;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Theridiae Gen. spec.;terrestrial;predator;THERID;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.354906221;-0.27710924;28;-0.354906221;0.354906221;28;si;-0.371045911;0.04;-0.354906221;-0.371045911;0.04;invertebrate
76;SHDI;+;no;13_148;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Theridiae Gen. spec.;terrestrial;predator;THERID;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.168104894;-0.229766272;28;-0.168104894;0.168104894;28;si;-0.169715804;0.04;-0.168104894;-0.169715804;0.04;invertebrate
77;Core area index;-;si;13_9;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Thomisidae Gen. spec.;terrestrial;predator;THOMIS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.311655928;0.396437766;28;0.311655928;0.311655928;28;NA;0.322378434;0.04;-0.311655928;-0.322378434;0.04;invertebrate
78;Number patches;+;no;13_89;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Thomisidae Gen. spec.;terrestrial;predator;THOMIS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.192184293;-0.050969962;28;-0.192184293;0.192184293;28;si;-0.194604248;0.04;-0.192184293;-0.194604248;0.04;invertebrate
79;SHDI;+;no;13_149;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Thomisidae Gen. spec.;terrestrial;predator;THOMIS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.11046797;-0.114141465;28;0.11046797;0.11046797;28;si;0.110920642;0.04;0.11046797;0.110920642;0.04;invertebrate
80;Vegetation cover on bank (%);+;no;11_11;composition;transition area;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Woodland species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Migrating - August;NA;10;0.490754002;0.420312659;10;0.490754002;0.490754002;10;NA;0.537053058;0.142857143;0.490754002;0.537053058;0.142857143;vertebrate
81;Vegetation cover on bank (%);+;no;11_10;composition;transition area;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Open land species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Migrating - August;NA;10;-0.119756203;0.103799859;10;-0.119756203;0.119756203;10;NA;-0.120333677;0.142857143;-0.119756203;-0.120333677;0.142857143;vertebrate
82;Vegetation cover on bank (%);+;no;11_12;composition;transition area;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Wetland species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Migrating - August;NA;10;-0.271608885;-0.261116484;10;-0.271608885;0.271608885;10;si;-0.278600033;0.142857143;-0.271608885;-0.278600033;0.142857143;vertebrate
83;Vegetation cover on bank (%);+;no;11_9;composition;transition area;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Bush species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Migrating - August;NA;10;-0.28785843;-0.274251117;10;-0.28785843;0.28785843;10;NA;-0.29622963;0.142857143;-0.28785843;-0.29622963;0.142857143;vertebrate
84;Wetland area (m2);+;no;11_17;composition;semi-natural areas;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Wetland species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Migrating - August;NA;30;0.150019665;0.080733224;30;0.150019665;0.150019665;30;si;0.151160554;0.037037037;0.150019665;0.151160554;0.037037037;vertebrate
85;Wetland area (m2);+;no;11_20;composition;semi-natural areas;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Bush species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Breeding - May;NA;30;-0.19016649;-0.25670815;30;-0.19016649;0.19016649;30;si;-0.1925099;0.037037037;-0.19016649;-0.1925099;0.037037037;vertebrate
86;Wetland area (m2);+;no;11_18;composition;semi-natural areas;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Open land species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Migrating - August;NA;30;0.282711408;0.161306517;30;0.282711408;0.282711408;30;NA;0.290626573;0.037037037;0.282711408;0.290626573;0.037037037;vertebrate
87;Wetland area (m2);+;no;11_19;composition;semi-natural areas;area;NA;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abundance;abu_den;Vertebrate;Bird;NA;NA;predator;Abundance Woodland species;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;Wintering - November;NA;30;-0.44365128;-0.439411792;30;-0.44365128;0.44365128;30;NA;-0.476767751;0.037037037;-0.44365128;-0.476767751;0.037037037;vertebrate
88;% of flooded rice fields;-;si;14_1;composition;crop-areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;duck;aquatic;predator;Duck Density - 5 km;easy;coefficient;NA;paddy;TYTCHI;NA;0.5;14;0.032;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.5;0.5;14;NA;0.549306144;0.090909091;-0.5;-0.549306144;0.090909091;vertebrate
89;% of flooded rice fields (weakly-negatively);-;si;14_2;composition;crop-areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;shorebird;aquatic;predator;Shorebird Density - 10 km;easy;coefficient;NA;paddy;TYTCHI;NA;0.424;14;0.067;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.424;0.424;14;NA;0.452558716;0.090909091;-0.424;-0.452558716;0.090909091;vertebrate
90;% of land in refuges;+;no;14_3;composition;semi-natural areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;shorebird;aquatic;predator;Shorebird Density - 2 km;easy;coefficient;NA;paddy;TYTCHI;NA;0.424;14;0.064;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.424;0.424;14;NA;0.452558716;0.090909091;0.424;0.452558716;0.090909091;vertebrate
91;% of land in refuges;+;no;14_4;composition;semi-natural areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;wading bird;aquatic;predator;Wading Bird Density - 10 km;easy;coefficient;NA;paddy;NA;NA;0.735;13;0.002;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.735;0.735;13;NA;0.939516433;0.1;0.735;0.939516433;0.1;vertebrate
92;% of semi-natural wetlands in the surrounding landscape (10 km);+;no;14_6;composition;semi-natural areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;wading bird;aquatic;predator;Wading Bird Density - 10 km;easy;coefficient;NA;paddy;NA;NA;0.481;14;0.042;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.481;0.481;14;NA;0.524284466;0.090909091;0.481;0.524284466;0.090909091;vertebrate
93;% of semi-natural wetlands in the surrounding landscape (5km);+;no;14_5;composition;semi-natural areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;wading bird;aquatic;predator;Wading Bird Density - 5 km;easy;coefficient;NA;paddy;NA;NA;0.447;14;0.054;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.447;0.447;14;NA;0.480944863;0.090909091;0.447;0.480944863;0.090909091;vertebrate
94;% wildlife refuge (10 km);+;no;14_7;composition;semi-natural areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;goose;aquatic;herbivore;Goose density - 10 km;easy;coefficient;NA;paddy;NA;NA;0.489897949;14;0.037;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.489897949;0.489897949;14;NA;0.53592605;0.090909091;0.489897949;0.53592605;0.090909091;vertebrate
95;% wildlife refuge (5 km);+;no;14_8;composition;semi-natural areas;area;NA;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;density;abu_den;Vertebrate;Bird;goose;aquatic;herbivore;Goose density - 5km;easy;coefficient;NA;paddy;NA;NA;0.489897949;14;0.035;Pearson;NA;escala demasiado peque?a;1;NA;NA;1;0.489897949;0.489897949;14;NA;0.53592605;0.090909091;0.489897949;0.53592605;0.090909091;vertebrate
96;Distance to river (m);-;si;1_1;configuration;proximity;lineal;NA;indonesia;Aandrean et al. - 2017 -;10.1007/s11284-017-1496-6;abundance;abu_den;Vertebrate;Carnivora;Lutrinae;aquatic;predator;Visitations;easy;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;February-April;25;0.090825509;0.101136629;25;0.090825509;0.090825509;25;NA;0.091076501;0.045454545;-0.090825509;-0.091076501;0.045454545;vertebrate
97;Distance to settlement (m);+;no;1_2;configuration;proximity;lineal;NA;indonesia;Aandrean et al. - 2017 -;10.1007/s11284-017-1496-6;abundance;abu_den;Vertebrate;Carnivora;Lutrinae;aquatic;predator;Visitations;easy;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;February-April;25;0.294295261;0.485143185;25;0.294295261;0.294295261;25;NA;0.303262346;0.045454545;0.294295261;0.303262346;0.045454545;vertebrate
98;distance to edge;-;si;9_1;configuration;proximity;lineal;NA;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abundance;abu_den;Vertebrate;Chiroptera;NA;terrestrial;pred/polli;Activity;medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;Muestreo en mayo-junio;150;-0.113406868;-0.164247124;150;-0.113406868;0.113406868;150;si;-0.113896834;0.006802721;0.113406868;0.113896834;0.006802721;vertebrate
99;Distance to forest;-;si;9_2;configuration;proximity;lineal;NA;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abundance;abu_den;Vertebrate;Chiroptera;NA;terrestrial;pred/polli;Activity;hard;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;Muestreo en mayo-junio;147;-0.26857152;-0.384823846;147;-0.26857152;0.26857152;147;NA;-0.275323658;0.006944444;0.26857152;0.275323658;0.006944444;vertebrate
100;Forest area within 1km;+;no;9_3;composition;semi-natural areas;area;NA;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abundance;abu_den;Vertebrate;Chiroptera;NA;terrestrial;pred/polli;Activity;medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;Muestreo en mayo-junio;71;0.211046473;0.240849952;71;0.211046473;0.211046473;71;NA;0.21426635;0.014705882;0.211046473;0.21426635;0.014705882;vertebrate
101;SDHI within 1km;+;no;9_4;heterogeinity;LU-crop evenness;index;NA;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abundance;abu_den;Vertebrate;Chiroptera;NA;terrestrial;pred/polli;Activity;hard;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;Muestreo en mayo-junio;67;0.121353917;0.170661107;67;0.121353917;0.121353917;67;NA;0.121954954;0.015625;0.121353917;0.121954954;0.015625;vertebrate
102;Urban area within 1km;-;si;9_5;composition;non-crop areas;area;NA;india;Bhalla et al. - 2023 -;10.1007/s10980-023-01758-z;abundance;abu_den;Vertebrate;Chiroptera;NA;terrestrial;pred/polli;Activity;medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;Muestreo en mayo-junio;144;-0.187558714;-0.188530051;144;-0.187558714;0.187558714;144;NA;-0.189805665;0.007092199;0.187558714;0.189805665;0.007092199;vertebrate
103;width of rice bund;+;no;2_7;configuration;connectivity;lineal;NA;bangladesh;Ali et al. - 2020 -;10.1186/s40850-020-00059-1;abundance;abu_den;Arthropod;Coleoptera;Carabidae;terrestrial;predator;carabid beetles;easy;coefficient;NA;paddy;NA;NA;0.423;24;0.05;Pearson;NA;NA;1;NA;NA;1;0.423;0.423;24;NA;0.451340166;0.047619048;0.423;0.451340166;0.047619048;invertebrate
104;1000edd;+;no;4_2;configuration;connectivity;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.349485775;0.373197253;60;0.349485775;0.349485775;60;NA;0.364857863;0.01754386;0.349485775;0.364857863;0.01754386;invertebrate
105;1000Fallow;+;no;4_6;composition;transition area;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.611729055;0.642663432;60;0.611729055;0.611729055;60;NA;0.711679711;0.01754386;0.611729055;0.711679711;0.01754386;invertebrate
106;1000HN;+;no;4_7;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.381324942;-0.283877928;60;-0.381324942;0.381324942;60;NA;-0.401609116;0.01754386;-0.381324942;-0.401609116;0.01754386;invertebrate
107;1000Rice;-;si;4_12;composition;crop-areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.639649306;-0.715057331;60;-0.639649306;0.639649306;60;NA;-0.757579976;0.01754386;0.639649306;0.757579976;0.01754386;invertebrate
108;1000Road;+;no;4_15;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.135981579;0.182995689;60;0.135981579;0.135981579;60;NA;0.136829147;0.01754386;0.135981579;0.136829147;0.01754386;invertebrate
109;1000SHDI;+;no;4_17;heterogeinity;LU-crop evenness;index;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.317383951;-0.290581067;60;-0.317383951;0.317383951;60;NA;-0.328735323;0.01754386;-0.317383951;-0.328735323;0.01754386;invertebrate
110;1000Urban;-;si;4_20;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.478404206;-0.589038322;60;-0.478404206;0.478404206;60;NA;-0.520912799;0.01754386;0.478404206;0.520912799;0.01754386;invertebrate
111;1000Water;+;no;4_22;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.781055186;0.809682803;60;0.781055186;0.781055186;60;NA;1.048070781;0.01754386;0.781055186;1.048070781;0.01754386;invertebrate
112;200edd;+;no;4_25;configuration;connectivity;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;0.230287142;0.357230061;60;0.230287142;0.230287142;60;NA;0.234492668;0.01754386;0.230287142;0.234492668;0.01754386;invertebrate
113;200Fallow;+;no;4_30;composition;transition area;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.246563473;0.322646074;60;0.246563473;0.246563473;60;NA;0.251750523;0.01754386;0.246563473;0.251750523;0.01754386;invertebrate
114;200HN;+;no;4_33;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.500689109;0.548316754;60;0.500689109;0.500689109;60;NA;0.550225379;0.01754386;0.500689109;0.550225379;0.01754386;invertebrate
115;200Rice;-;si;4_36;composition;crop-areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.454903951;-0.446429044;60;-0.454903951;0.454903951;60;NA;-0.490866574;0.01754386;0.454903951;0.490866574;0.01754386;invertebrate
116;200Road;+;no;4_38;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;-0.244351642;-0.288905282;60;-0.244351642;0.244351642;60;NA;-0.249396885;0.01754386;-0.244351642;-0.249396885;0.01754386;invertebrate
117;200SHDI;+;no;4_41;heterogeinity;LU-crop evenness;index;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.197072298;0.228305556;60;0.197072298;0.197072298;60;NA;0.199684714;0.01754386;0.197072298;0.199684714;0.01754386;invertebrate
118;200Urban;-;si;4_44;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.369077292;0.130208471;60;0.369077292;0.369077292;60;NA;0.387354459;0.01754386;-0.369077292;-0.387354459;0.01754386;invertebrate
119;200Water;+;no;4_47;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;0.322979712;0.43290497;60;0.322979712;0.322979712;60;NA;0.334970295;0.01754386;0.322979712;0.334970295;0.01754386;invertebrate
120;500edd;+;no;4_51;configuration;connectivity;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.249523075;0.363680475;60;0.249523075;0.249523075;60;NA;0.254904157;0.01754386;0.249523075;0.254904157;0.01754386;invertebrate
121;500Fallow;+;no;4_53;composition;transition area;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;0.608949442;0.486815455;60;0.608949442;0.608949442;60;NA;0.707249934;0.01754386;0.608949442;0.707249934;0.01754386;invertebrate
122;500HN;+;no;4_56;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.03327154;0.043067667;60;-0.03327154;0.03327154;60;NA;-0.033283825;0.01754386;-0.03327154;-0.033283825;0.01754386;invertebrate
123;500Rice;-;si;4_60;composition;crop-areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.644597803;-0.768682442;60;-0.644597803;0.644597803;60;NA;-0.76600052;0.01754386;0.644597803;0.76600052;0.01754386;invertebrate
124;500Road;+;no;4_61;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.094853579;-0.059322778;60;-0.094853579;0.094853579;60;NA;-0.095139597;0.01754386;-0.094853579;-0.095139597;0.01754386;invertebrate
125;500SHDI;+;no;4_64;heterogeinity;LU-crop evenness;index;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;-0.098198765;-0.152436403;60;-0.098198765;0.098198765;60;NA;-0.098516247;0.01754386;-0.098198765;-0.098516247;0.01754386;invertebrate
126;500Urban;-;si;4_68;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.250867084;-0.167243313;60;-0.250867084;0.250867084;60;NA;-0.256337916;0.01754386;0.250867084;0.256337916;0.01754386;invertebrate
127;500Water;+;no;4_70;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Coleoptera;Coccinellidae;terrestrial;predator;LBB;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.41211769;0.493334692;60;0.41211769;0.41211769;60;si;0.438159495;0.01754386;0.41211769;0.438159495;0.01754386;invertebrate
